Vivado Simulator 2018.3
Time resolution is 1 ps
Time=                   0, State=00, A_time= 0, B_time= 0, LED=001100
Time=               20000, State=00, A_time= 0, B_time= 3, LED=001100
Time=               25000, State=01, A_time= 2, B_time= 2, LED=010100
Time=               35000, State=01, A_time= 1, B_time= 1, LED=010100
Time=               45000, State=01, A_time= 0, B_time= 0, LED=010100
Time=               55000, State=10, A_time=29, B_time=26, LED=100001
Time=               65000, State=10, A_time=28, B_time=25, LED=100001
Time=               75000, State=10, A_time=27, B_time=24, LED=100001
Time=               85000, State=10, A_time=26, B_time=23, LED=100001
Time=               95000, State=10, A_time=25, B_time=22, LED=100001
Time=              105000, State=10, A_time=24, B_time=21, LED=100001
Time=              115000, State=10, A_time=23, B_time=20, LED=100001
Time=              125000, State=10, A_time=22, B_time=19, LED=100001
Time=              135000, State=10, A_time=21, B_time=18, LED=100001
Time=              145000, State=10, A_time=20, B_time=17, LED=100001
Time=              155000, State=10, A_time=19, B_time=16, LED=100001
Time=              165000, State=10, A_time=18, B_time=15, LED=100001
Time=              175000, State=10, A_time=17, B_time=14, LED=100001
Time=              185000, State=10, A_time=16, B_time=13, LED=100001
Time=              195000, State=10, A_time=15, B_time=12, LED=100001
Time=              205000, State=10, A_time=14, B_time=11, LED=100001
Time=              215000, State=10, A_time=13, B_time=10, LED=100001
Time=              225000, State=10, A_time=12, B_time= 9, LED=100001
Time=              235000, State=11, A_time= 2, B_time= 2, LED=100010
Time=              245000, State=11, A_time= 1, B_time= 1, LED=100010
Time=              255000, State=11, A_time= 0, B_time= 0, LED=100010
Time=              265000, State=00, A_time=26, B_time=29, LED=001100
Time=              275000, State=00, A_time=25, B_time=28, LED=001100
Time=              285000, State=00, A_time=24, B_time=27, LED=001100
Time=              295000, State=00, A_time=23, B_time=26, LED=001100
Time=              305000, State=00, A_time=22, B_time=25, LED=001100
Time=              315000, State=00, A_time=21, B_time=24, LED=001100
Time=              325000, State=00, A_time=20, B_time=23, LED=001100
Time=              335000, State=00, A_time=19, B_time=22, LED=001100
Time=              345000, State=00, A_time=18, B_time=21, LED=001100
Time=              355000, State=00, A_time=17, B_time=20, LED=001100
Time=              365000, State=00, A_time=16, B_time=19, LED=001100
Time=              375000, State=00, A_time=15, B_time=18, LED=001100
Time=              385000, State=00, A_time=14, B_time=17, LED=001100
Time=              395000, State=00, A_time=13, B_time=16, LED=001100
Time=              405000, State=00, A_time=12, B_time=15, LED=001100
Time=              415000, State=00, A_time=11, B_time=14, LED=001100
Time=              425000, State=00, A_time=10, B_time=13, LED=001100
